team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
FC Porto,25,21,3,1,66,49.0,10.0,39.0,12,10,13,11,83.3,84.6,55.52,55.42,55.62,1.85,2.01,1.71,2.92,3.25,2.62,1.7,1.82,1.56,14.2,14.5,13.92,,,,,,,,,,1.76,1.42,2.08,5.48,5.58,5.38,2.32,2.08,2.54,0.5,0.0,0.67,,,,385.4,392.25,379.08,,,,13.6,12.67,14.46,2.21,2.09,2.31,,,,,,,,,,,,,,,
Sporting CP,25,19,5,1,62,64.0,14.0,50.0,12,10,13,9,83.3,69.2,60.72,60.25,61.15,2.13,2.49,1.8,3.72,4.0,3.46,2.35,2.18,2.5,18.04,19.83,16.38,,,,,,,,,,2.2,2.0,2.38,7.2,6.83,7.54,2.28,1.5,3.0,0.38,0.0,0.5,,,,464.16,476.08,453.15,,,,12.6,12.08,13.08,1.57,1.8,1.36,,,,,,,,,,,,,,,
Benfica,25,17,8,0,59,53.0,16.0,37.0,13,8,12,9,61.5,75.0,58.92,59.92,57.83,1.88,2.19,1.55,2.92,2.92,2.92,1.73,1.6,1.83,16.8,17.77,15.75,,,,,,,,,,2.2,2.31,2.08,6.44,7.0,5.83,2.12,2.0,2.25,0.29,0.33,0.25,,,,419.28,421.46,416.92,,,,11.08,11.23,10.92,1.55,2.0,0.89,,,,,,,,,,,,,,,
Sporting Braga,25,13,7,5,46,52.0,25.0,27.0,12,7,13,6,58.3,46.2,63.24,61.83,64.54,1.96,2.0,1.92,3.24,3.33,3.15,1.7,1.5,1.85,13.0,11.75,14.15,,,,,,,,,,2.32,2.17,2.46,5.48,5.33,5.62,2.04,1.83,2.23,0.67,1.0,0.5,,,,529.6,529.83,529.38,,,,11.84,11.67,12.0,1.39,1.36,1.42,,,,,,,,,,,,,,,
Gil Vicente,25,11,8,6,41,37.0,25.0,12.0,12,7,13,4,58.3,30.8,49.56,48.5,50.54,1.41,1.39,1.43,2.12,2.17,2.08,1.18,0.9,1.42,14.36,15.33,13.46,,,,,,,,,,2.52,2.0,3.0,5.76,5.5,6.0,2.5,2.0,3.0,0.5,0.25,0.75,,,,297.12,299.58,294.85,,,,13.8,13.67,13.92,1.48,1.25,1.69,,,,,,,,,,,,,,,
Famalicão,25,11,6,8,39,30.0,21.0,9.0,13,7,12,4,53.8,33.3,51.32,53.08,49.42,1.34,1.51,1.16,2.38,2.67,2.08,1.74,1.58,1.91,12.52,14.23,10.67,,,,,,,,,,3.08,2.92,3.25,4.96,5.0,4.92,2.56,2.69,2.42,0.4,,0.4,,,,323.12,341.92,302.75,,,,16.84,15.92,17.83,1.21,1.58,0.83,,,,,,,,,,,,,,,
Moreirense,25,10,5,10,35,31.0,35.0,-4.0,12,6,13,4,50.0,30.8,49.52,49.0,50.0,1.02,0.83,1.18,1.88,1.18,2.46,1.18,0.44,1.69,8.92,8.5,9.31,,,,,,,,,,3.21,3.55,2.92,3.8,4.17,3.46,2.72,2.83,2.62,1.0,1.0,1.0,,,,355.48,349.08,361.38,,,,14.36,14.25,14.46,1.45,1.09,1.82,,,,,,,,,,,,,,,
Estoril Praia,25,9,7,9,34,46.0,42.0,4.0,13,6,12,3,46.2,25.0,52.6,53.31,51.83,1.39,1.44,1.34,2.32,2.38,2.25,1.24,1.15,1.33,12.08,12.15,12.0,,,,,,,,,,2.6,2.85,2.33,4.4,4.31,4.5,2.71,3.08,2.33,0.0,,0.0,,,,359.76,373.23,345.17,,,,12.64,11.92,13.42,1.4,1.23,1.58,,,,,,,,,,,,,,,
Vitória SC,25,9,5,11,32,28.0,37.0,-9.0,13,6,12,3,46.2,25.0,50.04,48.46,51.75,1.19,1.2,1.18,1.64,1.69,1.58,1.13,1.0,1.27,13.44,13.77,13.08,,,,,,,,,,3.16,3.23,3.08,4.32,4.62,4.0,2.44,2.69,2.17,0.6,1.0,0.0,,,,311.36,303.92,319.42,,,,14.96,16.15,13.67,2.09,2.0,2.18,,,,,,,,,,,,,,,
FC Alverca,25,7,7,11,28,24.0,39.0,-15.0,13,5,12,2,38.5,16.7,44.72,48.62,40.5,1.22,1.54,0.88,2.04,2.54,1.5,1.42,1.85,0.91,9.4,10.92,7.75,,,,,,,,,,2.84,2.54,3.17,3.96,4.38,3.5,2.44,2.0,2.92,0.57,0.33,0.75,,,,293.32,315.46,269.33,,,,12.76,13.08,12.42,1.04,1.0,1.09,,,,,,,,,,,,,,,
